,Address,Day,Details,Amount,Balance
851,Katalytica Revenue,72,Revenue,936.0,7344.411
852,48 1st Street Rent,73,Rent,-12.32229,7332.088
853,42 3rd Street Rent,73,Rent,-38.02306,7294.065
854,59 3rd Street Rent,73,Rent,-75.99196,7218.073
855,41 3rd Street Rent,73,Rent,-13.54097,7204.532
856,Karbucks Revenue,72,Revenue,1035.9,8240.433
857,7 3rd Avenue Rent,73,Rent,-42.2027,8198.229
858,Katara Jewels Revenue,72,Revenue,516.0,8714.229
859,Delivery from United Ocean Import ,73,ImportDelivery,-4006.534,4707.695
860,Jensen Capital Loan Payment,73,LoanPayment,-18.0,4689.695
861,Marketing campaigns for Katara Jewels,73,Marketing,-100.0,4589.695
862,Subway Ride,73,SubwayRide,-3.0,4586.695
863,Subway Ride,73,SubwayRide,-3.0,4583.695
864,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4608.695
865,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4633.695
866,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4658.695
867,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4683.695
868,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4708.695
869,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4733.695
870,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4758.695
871,Salary from El Gato Food Market,73,PlayerJobSalary,25.0,4783.695
872,Purchase from El Gato Food Market,73,ItemPurchase,-80.0,4703.695
873,Evie Jones (Katalytica Daily Wage),73,Wage,-560.0,4143.695
874,Tommy Brooks (Karbucks Daily Wage),73,Wage,-44.0,4099.695
875,Merit Johnson (KaraKata Holdings Daily Wage),73,Wage,-224.0,3875.695
876,Katherine Moss (Karbucks Daily Wage),73,Wage,-200.0,3675.695
877,Nathaniel Hill (Katara Jewels Daily Wage),73,Wage,-216.0,3459.695
878,37 3rd Street Rent,74,Rent,-9.478683,3450.217
879,Katalytica Revenue,73,Revenue,936.0,4386.217
880,48 1st Street Rent,74,Rent,-12.32229,4373.895
881,42 3rd Street Rent,74,Rent,-38.02306,4335.872
882,59 3rd Street Rent,74,Rent,-75.99196,4259.879
883,41 3rd Street Rent,74,Rent,-13.54097,4246.338
884,Karbucks Revenue,73,Revenue,1048.3,5294.639
885,7 3rd Avenue Rent,74,Rent,-42.2027,5252.436
886,Katara Jewels Revenue,73,Revenue,516.0,5768.436
887,Jensen Capital Loan Payment,74,LoanPayment,-18.0,5750.436
888,Marketing campaigns for Katara Jewels,74,Marketing,-100.0,5650.436
889,Subway Ride,74,SubwayRide,-3.0,5647.436
890,Subway Ride,74,SubwayRide,-3.0,5644.436
891,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5669.436
892,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5694.436
893,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5719.436
894,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5744.436
895,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5769.436
896,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5794.436
897,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5819.436
898,Salary from El Gato Food Market,74,PlayerJobSalary,25.0,5844.436
899,Evie Jones (Katalytica Daily Wage),74,Wage,-280.0,5564.436
900,Lily Barton (Katalytica Daily Wage),74,Wage,-215.0,5349.436
901,Tommy Brooks (Karbucks Daily Wage),74,Wage,-44.0,5305.436
902,Christian Hall (KaraKata Holdings Daily Wage),74,Wage,-184.0,5121.436
903,Merit Johnson (KaraKata Holdings Daily Wage),74,Wage,-224.0,4897.436
904,Katherine Moss (Karbucks Daily Wage),74,Wage,-200.0,4697.436
905,Nathaniel Hill (Katara Jewels Daily Wage),74,Wage,-216.0,4481.436
906,37 3rd Street Rent,75,Rent,-9.478683,4471.958
907,Katalytica Revenue,74,Revenue,936.0,5407.958
908,48 1st Street Rent,75,Rent,-12.32229,5395.635
909,42 3rd Street Rent,75,Rent,-38.02306,5357.612
910,59 3rd Street Rent,75,Rent,-75.99196,5281.62
911,41 3rd Street Rent,75,Rent,-13.54097,5268.079
912,Karbucks Revenue,74,Revenue,913.8,6181.879
913,7 3rd Avenue Rent,75,Rent,-42.2027,6139.676
914,Katara Jewels Revenue,74,Revenue,516.0,6655.676
915,Jensen Capital Loan Payment,75,LoanPayment,-18.0,6637.676
916,Marketing campaigns for Katara Jewels,75,Marketing,-100.0,6537.676
917,Subway Ride,75,SubwayRide,-3.0,6534.676
918,Subway Ride,75,SubwayRide,-3.0,6531.676
919,Lily Barton (Katalytica Daily Wage),75,Wage,-430.0,6101.676
920,Replacement for Zoe Gomez (Karbucks Wage),75,ReplacementWage,-320.0,5781.676
921,Replacement for Tommy Brooks (Karbucks Wage),75,ReplacementWage,-55.0,5726.676
922,Christian Hall (KaraKata Holdings Daily Wage),75,Wage,-184.0,5542.676
923,Merit Johnson (KaraKata Holdings Daily Wage),75,Wage,-224.0,5318.676
924,37 3rd Street Rent,76,Rent,-9.478683,5309.198
925,Katalytica Revenue,75,Revenue,936.0,6245.198
926,48 1st Street Rent,76,Rent,-12.32229,6232.875
927,42 3rd Street Rent,76,Rent,-38.02306,6194.853
928,59 3rd Street Rent,76,Rent,-75.99196,6118.86
929,41 3rd Street Rent,76,Rent,-13.54097,6105.319
930,Karbucks Revenue,75,Revenue,1210.2,7315.52
931,7 3rd Avenue Rent,76,Rent,-42.2027,7273.317
932,Katara Jewels Revenue,75,Revenue,8700.0,15973.32
933,Jensen Capital Loan Payment,76,LoanPayment,-18.0,15955.32
934,Marketing campaigns for Katara Jewels,76,Marketing,-100.0,15855.32
935,Furniture+inventory and vehicles from 41 3rd Street,76,DepositReturnFurniture,28849.44,44704.75
936,Returned deposit for 41 3rd Street,76,DepositReturn,406.2292,45110.98
937,Subway Ride,76,SubwayRide,-3.0,45107.98
938,Subway Ride,76,SubwayRide,-3.0,45104.98
939,Purchase from AJ Pederson & Son,76,ItemPurchase,-10680.0,34424.98
940,Subway Ride,76,SubwayRide,-3.0,34421.98
941,Purchase from Metro Wholesale,76,ItemPurchase,-704.0,33717.98
942,Subway Ride,76,SubwayRide,-3.0,33714.98
943,Lily Barton (Katalytica Daily Wage),76,Wage,-430.0,33284.98
944,Tommy Brooks (Katalytica Daily Wage),76,Wage,-88.0,33196.98
945,Katherine Moss (Katara Jewels Daily Wage),76,Wage,-75.0,33121.98
946,Nathaniel Hill (Katara Jewels Daily Wage),76,Wage,-216.0,32905.98
947,37 3rd Street Rent,77,Rent,-9.478683,32896.5
948,Katalytica Revenue,76,Revenue,936.0,33832.5
949,48 1st Street Rent,77,Rent,-12.32229,33820.18
950,42 3rd Street Rent,77,Rent,-38.02306,33782.16
951,59 3rd Street Rent,77,Rent,-75.99196,33706.16
952,7 3rd Avenue Rent,77,Rent,-42.2027,33663.96
953,Katara Jewels Revenue,76,Revenue,1032.0,34695.96
954,Delivery from United Ocean Import ,77,ImportDelivery,-31213.24,3482.717
955,Jensen Capital Loan Payment,77,LoanPayment,-18.0,3464.717
956,Marketing campaigns for Katara Jewels,77,Marketing,-100.0,3364.717
957,Subway Ride,77,SubwayRide,-3.0,3361.717
958,Subway Ride,77,SubwayRide,-3.0,3358.717
959,Evie Jones (Katalytica Daily Wage),77,Wage,-280.0,3078.717
960,Lily Barton (Katalytica Daily Wage),77,Wage,-215.0,2863.717
961,Tommy Brooks (Katalytica Daily Wage),77,Wage,-88.0,2775.717
962,Katherine Moss (Katara Jewels Daily Wage),77,Wage,-75.0,2700.717
963,Nathaniel Hill (Katara Jewels Daily Wage),77,Wage,-216.0,2484.717
964,37 3rd Street Rent,78,Rent,-9.478683,2475.238
965,Katalytica Revenue,77,Revenue,936.0,3411.238
966,48 1st Street Rent,78,Rent,-12.32229,3398.916
967,42 3rd Street Rent,78,Rent,-38.02306,3360.893
968,59 3rd Street Rent,78,Rent,-75.99196,3284.901
969,7 3rd Avenue Rent,78,Rent,-42.2027,3242.698
970,Katara Jewels Revenue,77,Revenue,1032.0,4274.698
971,Jensen Capital Loan Payment,78,LoanPayment,-18.0,4256.698
972,Marketing campaigns for Katara Jewels,78,Marketing,-100.0,4156.698
973,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4181.698
974,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4206.698
975,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4231.698
976,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4256.698
977,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4281.698
978,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4306.698
979,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4331.698
980,Salary from El Gato Food Market,78,PlayerJobSalary,25.0,4356.698
981,Evie Jones (Katalytica Daily Wage),78,Wage,-560.0,3796.698
982,Zoe Gomez (KaraKata Holdings Daily Wage),78,Wage,-192.0,3604.698
983,Tommy Brooks (Katalytica Daily Wage),78,Wage,-88.0,3516.698
984,Christian Hall (KaraKata Holdings Daily Wage),78,Wage,-184.0,3332.698
985,Merit Johnson (KaraKata Holdings Daily Wage),78,Wage,-224.0,3108.698
986,Replacement for Katherine Moss (Katara Jewels Wage),78,ReplacementWage,-93.75,3014.948
987,Nathaniel Hill (Katara Jewels Daily Wage),78,Wage,-216.0,2798.948
988,37 3rd Street Rent,79,Rent,-9.478683,2789.469
989,Katalytica Revenue,78,Revenue,936.0,3725.469
990,48 1st Street Rent,79,Rent,-12.32229,3713.147
991,42 3rd Street Rent,79,Rent,-38.02306,3675.124
992,59 3rd Street Rent,79,Rent,-75.99196,3599.132
993,7 3rd Avenue Rent,79,Rent,-42.2027,3556.93
994,Katara Jewels Revenue,78,Revenue,1032.0,4588.93
995,Jensen Capital Loan Payment,79,LoanPayment,-18.0,4570.93
996,Marketing campaigns for Katara Jewels,79,Marketing,-100.0,4470.93
997,Subway Ride,79,SubwayRide,-3.0,4467.93
998,Subway Ride,79,SubwayRide,-3.0,4464.93
999,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4489.93
1000,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4514.93
1001,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4539.93
1002,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4564.93
1003,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4589.93
1004,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4614.93
1005,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4639.93
1006,Salary from El Gato Food Market,79,PlayerJobSalary,25.0,4664.93
1007,Evie Jones (Katalytica Daily Wage),79,Wage,-560.0,4104.93
1008,Zoe Gomez (Katara Jewels Daily Wage),79,Wage,-128.0,3976.93
1009,Tommy Brooks (Katalytica Daily Wage),79,Wage,-88.0,3888.93
1010,Christian Hall (KaraKata Holdings Daily Wage),79,Wage,-184.0,3704.93
1011,Merit Johnson (KaraKata Holdings Daily Wage),79,Wage,-224.0,3480.93
1012,Katherine Moss (Katara Jewels Daily Wage),79,Wage,-100.0,3380.93
1013,37 3rd Street Rent,80,Rent,-9.478683,3371.451
1014,Katalytica Revenue,79,Revenue,936.0,4307.451
1015,48 1st Street Rent,80,Rent,-12.32229,4295.129
1016,42 3rd Street Rent,80,Rent,-38.02306,4257.106
1017,59 3rd Street Rent,80,Rent,-75.99196,4181.114
1018,7 3rd Avenue Rent,80,Rent,-42.2027,4138.911
1019,Jensen Capital Loan Payment,80,LoanPayment,-18.0,4120.911
1020,Marketing campaigns for Katara Jewels,80,Marketing,-100.0,4020.911
1021,Subway Ride,80,SubwayRide,-3.0,4017.911
1022,Subway Ride,80,SubwayRide,-3.0,4014.911
1023,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4039.911
1024,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4064.911
1025,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4089.911
1026,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4114.911
1027,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4139.911
1028,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4164.911
1029,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4189.911
1030,Salary from El Gato Food Market,80,PlayerJobSalary,25.0,4214.911
1031,Marketing campaigns for Katara Jewels,80,Marketing,-500.0,3714.911
1032,Evie Jones (Katalytica Daily Wage),80,Wage,-560.0,3154.911
1033,Zoe Gomez (Katara Jewels Daily Wage),80,Wage,-192.0,2962.911
1034,Tommy Brooks (Katalytica Daily Wage),80,Wage,-88.0,2874.911
1035,Christian Hall (KaraKata Holdings Daily Wage),80,Wage,-184.0,2690.911
1036,Merit Johnson (KaraKata Holdings Daily Wage),80,Wage,-224.0,2466.911
1037,Katherine Moss (Katara Jewels Daily Wage),80,Wage,-100.0,2366.911
1038,37 3rd Street Rent,81,Rent,-9.478683,2357.432
1039,Katalytica Revenue,80,Revenue,936.0,3293.432
1040,48 1st Street Rent,81,Rent,-12.32229,3281.11
1041,42 3rd Street Rent,81,Rent,-38.02306,3243.087
1042,59 3rd Street Rent,81,Rent,-75.99196,3167.095
1043,7 3rd Avenue Rent,81,Rent,-42.2027,3124.893
1044,Katara Jewels Revenue,80,Revenue,1892.0,5016.893
1045,Jensen Capital Loan Payment,81,LoanPayment,-18.0,4998.893
1046,Marketing campaigns for Katara Jewels,81,Marketing,-600.0,4398.893
1047,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4423.893
1048,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4448.893
1049,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4473.893
1050,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4498.893
1051,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4523.893
1052,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4548.893
1053,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4573.893
1054,Salary from El Gato Food Market,81,PlayerJobSalary,25.0,4598.893
1055,Evie Jones (Katalytica Daily Wage),81,Wage,-280.0,4318.893
1056,Lily Barton (Katalytica Daily Wage),81,Wage,-215.0,4103.893
1057,Zoe Gomez (Katara Jewels Daily Wage),81,Wage,-128.0,3975.893
1058,Tommy Brooks (Katalytica Daily Wage),81,Wage,-66.0,3909.893
1059,Christian Hall (KaraKata Holdings Daily Wage),81,Wage,-184.0,3725.893
1060,Merit Johnson (KaraKata Holdings Daily Wage),81,Wage,-224.0,3501.893
1061,Katherine Moss (Katara Jewels Daily Wage),81,Wage,-100.0,3401.893
1062,37 3rd Street Rent,82,Rent,-9.478683,3392.414
1063,Katalytica Revenue,81,Revenue,936.0,4328.414
1064,48 1st Street Rent,82,Rent,-12.32229,4316.092
1065,42 3rd Street Rent,82,Rent,-38.02306,4278.069
1066,59 3rd Street Rent,82,Rent,-75.99196,4202.077
1067,7 3rd Avenue Rent,82,Rent,-42.2027,4159.874
1068,Katara Jewels Revenue,81,Revenue,2408.0,6567.874
1069,Jensen Capital Loan Payment,82,LoanPayment,-18.0,6549.874
1070,Marketing campaigns for Katara Jewels,82,Marketing,-600.0,5949.874
1071,Subway Ride,82,SubwayRide,-3.0,5946.874
1072,Subway Ride,82,SubwayRide,-3.0,5943.874
1073,Lily Barton (Katalytica Daily Wage),82,Wage,-430.0,5513.874
1074,Zoe Gomez (Katara Jewels Daily Wage),82,Wage,-128.0,5385.874
1075,Tommy Brooks (Katalytica Daily Wage),82,Wage,-88.0,5297.874
1076,Christian Hall (KaraKata Holdings Daily Wage),82,Wage,-184.0,5113.874
1077,Merit Johnson (KaraKata Holdings Daily Wage),82,Wage,-224.0,4889.874
1078,Katherine Moss (Katara Jewels Daily Wage),82,Wage,-150.0,4739.874
1079,37 3rd Street Rent,83,Rent,-9.478683,4730.396
1080,Katalytica Revenue,82,Revenue,936.0,5666.396
1081,48 1st Street Rent,83,Rent,-12.32229,5654.073
1082,42 3rd Street Rent,83,Rent,-38.02306,5616.05
1083,59 3rd Street Rent,83,Rent,-75.99196,5540.058
1084,7 3rd Avenue Rent,83,Rent,-42.2027,5497.855
1085,Katara Jewels Revenue,82,Revenue,8000.0,13497.86
1086,Jensen Capital Loan Payment,83,LoanPayment,-18.0,13479.86
1087,Marketing campaigns for Katara Jewels,83,Marketing,-600.0,12879.86
1088,Purchase from El Gato Food Market,83,ItemPurchase,-64.0,12815.86
1089,Subway Ride,83,SubwayRide,-3.0,12812.86
1090,Marketing campaigns for Katara Jewels,83,Marketing,-250.0,12562.86
1091,Marketing campaigns for Katara Jewels,83,Marketing,-500.0,12062.86
1092,Marketing campaigns for Katara Jewels,83,Marketing,-100.0,11962.86
1093,Subway Ride,83,SubwayRide,-3.0,11959.86
1094,Lily Barton (Katalytica Daily Wage),83,Wage,-430.0,11529.86
1095,Zoe Gomez (Katara Jewels Daily Wage),83,Wage,-128.0,11401.86
1096,Tommy Brooks (Katalytica Daily Wage),83,Wage,-88.0,11313.86
1097,Katherine Moss (Katara Jewels Daily Wage),83,Wage,-100.0,11213.86
1098,37 3rd Street Rent,84,Rent,-9.478683,11204.38
1099,Katalytica Revenue,83,Revenue,945.0,12149.38
1100,48 1st Street Rent,84,Rent,-12.32229,12137.05
1101,42 3rd Street Rent,84,Rent,-38.02306,12099.03
1102,59 3rd Street Rent,84,Rent,-75.99196,12023.04
1103,7 3rd Avenue Rent,84,Rent,-42.2027,11980.84
1104,Katara Jewels Revenue,83,Revenue,2975.0,14955.84
1105,Delivery from United Ocean Import ,84,ImportDelivery,-4244.861,10710.97
1106,Jensen Capital Loan Payment,84,LoanPayment,-18.0,10692.97
1107,Marketing campaigns for Katara Jewels,84,Marketing,-600.0,10092.97
1108,Subway Ride,84,SubwayRide,-3.0,10089.97
1109,Subway Ride,84,SubwayRide,-3.0,10086.97
1110,Evie Jones (Katalytica Daily Wage),84,Wage,-280.0,9806.975
1111,Lily Barton (Katalytica Daily Wage),84,Wage,-215.0,9591.975
1112,Zoe Gomez (Katara Jewels Daily Wage),84,Wage,-128.0,9463.975
1113,Tommy Brooks (Katalytica Daily Wage),84,Wage,-88.0,9375.975
1114,Katherine Moss (Katara Jewels Daily Wage),84,Wage,-100.0,9275.975
1115,37 3rd Street Rent,85,Rent,-9.478683,9266.496
1116,Katalytica Revenue,84,Revenue,1200.0,10466.5
1117,48 1st Street Rent,85,Rent,-12.32229,10454.17
1118,42 3rd Street Rent,85,Rent,-38.02306,10416.15
1119,59 3rd Street Rent,85,Rent,-75.99196,10340.16
1120,7 3rd Avenue Rent,85,Rent,-42.2027,10297.96
1121,Katara Jewels Revenue,84,Revenue,2200.0,12497.96
1122,Jensen Capital Loan Payment,85,LoanPayment,-18.0,12479.96
1123,Marketing campaigns for Katara Jewels,85,Marketing,-600.0,11879.96
1124,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,11904.96
1125,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,11929.96
1126,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,11954.96
1127,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,11979.96
1128,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,12004.96
1129,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,12029.96
1130,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,12054.96
1131,Salary from El Gato Food Market,85,PlayerJobSalary,25.0,12079.96
1132,Evie Jones (Katalytica Daily Wage),85,Wage,-560.0,11519.96
1133,Zoe Gomez (Katara Jewels Daily Wage),85,Wage,-128.0,11391.96
1134,Tommy Brooks (Katalytica Daily Wage),85,Wage,-88.0,11303.96
1135,Christian Hall (KaraKata Holdings Daily Wage),85,Wage,-184.0,11119.96
1136,Merit Johnson (KaraKata Holdings Daily Wage),85,Wage,-224.0,10895.96
1137,Katherine Moss (Katara Jewels Daily Wage),85,Wage,-100.0,10795.96
1138,37 3rd Street Rent,86,Rent,-9.478683,10786.48
1139,Katalytica Revenue,85,Revenue,960.0,11746.48
1140,48 1st Street Rent,86,Rent,-12.32229,11734.15
1141,42 3rd Street Rent,86,Rent,-38.02306,11696.13
1142,59 3rd Street Rent,86,Rent,-75.99196,11620.14
1143,7 3rd Avenue Rent,86,Rent,-42.2027,11577.94
1144,Katara Jewels Revenue,85,Revenue,1600.0,13177.94
1145,Jensen Capital Loan Payment,86,LoanPayment,-18.0,13159.94
1146,Marketing campaigns for Katara Jewels,86,Marketing,-600.0,12559.94
1147,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12584.94
1148,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12609.94
1149,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12634.94
1150,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12659.94
1151,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12684.94
1152,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12709.94
1153,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12734.94
1154,Salary from El Gato Food Market,86,PlayerJobSalary,25.0,12759.94
1155,Purchase from El Gato Food Market,86,ItemPurchase,-80.0,12679.94
1156,Evie Jones (Katalytica Daily Wage),86,Wage,-560.0,12119.94
1157,Zoe Gomez (Katara Jewels Daily Wage),86,Wage,-128.0,11991.94
1158,Tommy Brooks (Katalytica Daily Wage),86,Wage,-88.0,11903.94
1159,Christian Hall (KaraKata Holdings Daily Wage),86,Wage,-184.0,11719.94
1160,Merit Johnson (KaraKata Holdings Daily Wage),86,Wage,-224.0,11495.94
1161,Katherine Moss (Katara Jewels Daily Wage),86,Wage,-100.0,11395.94
1162,37 3rd Street Rent,87,Rent,-9.478683,11386.46
1163,Katalytica Revenue,86,Revenue,960.0,12346.46
1164,48 1st Street Rent,87,Rent,-12.32229,12334.13
1165,42 3rd Street Rent,87,Rent,-38.02306,12296.11
1166,59 3rd Street Rent,87,Rent,-75.99196,12220.12
1167,7 3rd Avenue Rent,87,Rent,-42.2027,12177.92
1168,Katara Jewels Revenue,86,Revenue,1200.0,13377.92
1169,Jensen Capital Loan Payment,87,LoanPayment,-18.0,13359.92
1170,Marketing campaigns for Katara Jewels,87,Marketing,-600.0,12759.92
1171,1 4th Street Deposit,87,Deposit,-2049.588,10710.33
1172,1 4th Street Rent,87,Rent,-64.31962,10646.01
1173,Purchase from Square Appliances,87,ItemPurchase,-1470.0,9176.009
1174,Purchase from Square Appliances,87,ItemPurchase,-1200.0,7976.009
1175,Purchase from IKA BOHAG,87,ItemPurchase,-400.0,7576.009
1176,Evie Jones (Katalytica Daily Wage),87,Wage,-560.0,7016.009
1177,Zoe Gomez (Katara Jewels Daily Wage),87,Wage,-192.0,6824.009
1178,Tommy Brooks (Katalytica Daily Wage),87,Wage,-88.0,6736.009
1179,Christian Hall (KaraKata Holdings Daily Wage),87,Wage,-184.0,6552.009
1180,Merit Johnson (KaraKata Holdings Daily Wage),87,Wage,-224.0,6328.009
1181,Katherine Moss (Katara Jewels Daily Wage),87,Wage,-100.0,6228.009
1182,Public parking for UMC Desert,87,PublicParking,-7.5,6220.509
1183,37 3rd Street Rent,88,Rent,-9.478683,6211.03
1184,Katalytica Revenue,87,Revenue,960.0,7171.03
1185,1 4th Street Rent,88,Rent,-64.31962,7106.71
1186,48 1st Street Rent,88,Rent,-12.32229,7094.388
1187,42 3rd Street Rent,88,Rent,-38.02306,7056.365
1188,59 3rd Street Rent,88,Rent,-75.99196,6980.373
1189,7 3rd Avenue Rent,88,Rent,-42.2027,6938.17
1190,Katara Jewels Revenue,87,Revenue,1200.0,8138.17
1191,Jensen Capital Loan Payment,88,LoanPayment,-18.0,8120.17
1192,Marketing campaigns for Katara Jewels,88,Marketing,-100.0,8020.17
1193,Purchase from Metro Wholesale,88,ItemPurchase,-704.0,7316.17
1194,Subway Ride,88,SubwayRide,-3.0,7313.17
1195,Subway Ride,88,SubwayRide,-3.0,7310.17
1196,Purchase from Square Appliances,88,ItemPurchase,-200.0,7110.17
1197,Subway Ride,88,SubwayRide,-3.0,7107.17
1198,Interior Designer,88,InteriorDesigner,-4320.0,2787.17
1199,Marketing campaigns for Elite Jewels,88,Marketing,-500.0,2287.17
1200,Subway Ride,88,SubwayRide,-3.0,2284.17
1201,Evie Jones (Katalytica Daily Wage),88,Wage,-280.0,2004.17
1202,Lily Barton (Katalytica Daily Wage),88,Wage,-215.0,1789.17
1203,Zoe Gomez (Katara Jewels Daily Wage),88,Wage,-128.0,1661.17
1204,Tommy Brooks (Katalytica Daily Wage),88,Wage,-66.0,1595.17
1205,Christian Hall (KaraKata Holdings Daily Wage),88,Wage,-184.0,1411.17
1206,Merit Johnson (KaraKata Holdings Daily Wage),88,Wage,-224.0,1187.17
1207,Katherine Moss (Katara Jewels Daily Wage),88,Wage,-100.0,1087.17
1208,37 3rd Street Rent,89,Rent,-9.478683,1077.692
1209,Katalytica Revenue,88,Revenue,960.0,2037.692
1210,1 4th Street Rent,89,Rent,-64.31962,1973.372
1211,Elite Jewels Revenue,88,Revenue,3810.0,5783.372
1212,48 1st Street Rent,89,Rent,-12.32229,5771.05
1213,42 3rd Street Rent,89,Rent,-38.02306,5733.027
1214,59 3rd Street Rent,89,Rent,-75.99196,5657.035
1215,7 3rd Avenue Rent,89,Rent,-42.2027,5614.832
1216,Katara Jewels Revenue,88,Revenue,600.0,6214.832
1217,Jensen Capital Loan Payment,89,LoanPayment,-18.0,6196.832
1218,Marketing campaigns for Elite Jewels,89,Marketing,-500.0,5696.832
1219,Marketing campaigns for Katara Jewels,89,Marketing,-100.0,5596.832
1220,Subway Ride,89,SubwayRide,-3.0,5593.832
1221,Subway Ride,89,SubwayRide,-3.0,5590.832
1222,Lily Barton (Katalytica Daily Wage),89,Wage,-430.0,5160.832
1223,Zoe Gomez (Katara Jewels Daily Wage),89,Wage,-128.0,5032.832
1224,Tommy Brooks (Katalytica Daily Wage),89,Wage,-88.0,4944.832
1225,Christian Hall (KaraKata Holdings Daily Wage),89,Wage,-184.0,4760.832
1226,Merit Johnson (KaraKata Holdings Daily Wage),89,Wage,-224.0,4536.832
1227,Katherine Moss (Katara Jewels Daily Wage),89,Wage,-150.0,4386.832
1228,37 3rd Street Rent,90,Rent,-9.478683,4377.354
1229,Katalytica Revenue,89,Revenue,960.0,5337.354
1230,1 4th Street Rent,90,Rent,-64.31962,5273.034
1231,Elite Jewels Revenue,89,Revenue,12000.0,17273.03
1232,48 1st Street Rent,90,Rent,-12.32229,17260.71
1233,42 3rd Street Rent,90,Rent,-38.02306,17222.69
1234,59 3rd Street Rent,90,Rent,-75.99196,17146.7
1235,7 3rd Avenue Rent,90,Rent,-42.2027,17104.49
1236,Katara Jewels Revenue,89,Revenue,1600.0,18704.49
1237,Delivery from United Ocean Import ,90,ImportDelivery,-5860.054,12844.44
1238,Jensen Capital Loan Payment,90,LoanPayment,-18.0,12826.44
1239,Marketing campaigns for Elite Jewels,90,Marketing,-500.0,12326.44
1240,Marketing campaigns for Katara Jewels,90,Marketing,-100.0,12226.44
1241,Subway Ride,90,SubwayRide,-3.0,12223.44
1242,Subway Ride,90,SubwayRide,-3.0,12220.44
1243,Subway Ride,90,SubwayRide,-3.0,12217.44
1244,Lily Barton (Katalytica Daily Wage),90,Wage,-430.0,11787.44
1245,Zoe Gomez (Elite Jewels Daily Wage),90,Wage,-128.0,11659.44
1246,Tommy Brooks (Katalytica Daily Wage),90,Wage,-88.0,11571.44
1247,Katherine Moss (Elite Jewels Daily Wage),90,Wage,-50.0,11521.44
1248,37 3rd Street Rent,91,Rent,-9.478683,11511.96
1249,Katalytica Revenue,90,Revenue,960.0,12471.96
1250,1 4th Street Rent,91,Rent,-64.31962,12407.64
1251,Elite Jewels Revenue,90,Revenue,9000.0,21407.64
